Sample	Marker	Rank	Size	SeqID	QueryID	Sequence	FoundMarkerBLAST	SubjectID	SubjectTitle	Pident	AlignLength	Bitscore	Evalue	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
204_B	ssu	1	9510	Uniq1	204_B|Uniq1;size=9510	99e3f5c82ad3ef8d8d9dca29a853e630	SSU	gi|112789574|gb|DQ838794.1|	Cordyceps oxycephala 18S ribosomal RNA gene, partial sequence	98.909	275	492	4.71e-136	218628		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps oxycephala
204_B	ssu	2	4928	Uniq2	204_B|Uniq2;size=4928	27aea6ed4ad522ef3743b72c3a450825	SSU	gi|112789574|gb|DQ838794.1|	Cordyceps oxycephala 18S ribosomal RNA gene, partial sequence	98.913	276	494	1.31e-136	218628		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps oxycephala
205_A	ssu	1	11451	Uniq1	205_A|Uniq1;size=11451	8e900bffb2db76fbe69fc92769b4db07	SSU	gi|106073458|gb|DQ522549.1|	Cordyceps nutans strain OSC 110994 small subunit ribosomal RNA gene, partial sequence	100.000	275	508	4.68e-141	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
205_A	ssu	2	5826	Uniq2	205_A|Uniq2;size=5826	588e642f8dca1a628d37448769803935	SSU	gi|106073458|gb|DQ522549.1|	Cordyceps nutans strain OSC 110994 small subunit ribosomal RNA gene, partial sequence	100.000	276	510	1.30e-141	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
206_A	ssu	1	2823	Uniq1	206_A|Uniq1;size=2823	d56ce840039271313f2b04b13a29c57a	SSU	gi|1556235136|gb|MK393839.1|	Ophiocordyceps sp. isolate Gh33A small subunit ribosomal RNA gene, partial sequence	100.000	275	508	4.68e-141	1912256		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps sp.
206_A	ssu	2	1432	Uniq2	206_A|Uniq2;size=1432	403aeb783c0f17adc2685ac6c676c9ad	SSU	gi|1556235136|gb|MK393839.1|	Ophiocordyceps sp. isolate Gh33A small subunit ribosomal RNA gene, partial sequence	100.000	276	510	1.30e-141	1912256		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps sp.
203_A	lsu	1	1	Uniq10	203_A|Uniq10;size=1	493c83f9bd22240ba5c2cc1e434a6dcf	LSU	gi|1473260315|gb|MH873259.1|	Neoascochyta graminicola culture CBS:447.82 strain CBS 447.82 large subunit ribosomal RNA gene, partial sequence	99.631	271	496	3.84e-137	1770196		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	Neoascochyta graminicola
203_A	lsu	2	1	Uniq11	203_A|Uniq11;size=1	d2d349c4ced71004896a3127f2713d21	LSU	gi|380865791|gb|JQ267441.1|	Uncultured fungus clone 241FMB5 large subunit ribosomal RNA gene, partial sequence	98.537	205	363	2.92e-97	175245							uncultured fungus
204_B	lsu	1	9	Uniq1	204_B|Uniq1;size=9	b8af1989d06c3fdf7ff2aed690e86b65															
204_B	lsu	2	4	Uniq2	204_B|Uniq2;size=4	a974b5dc2a87f69470a8aa6a30a34bbd															
205_A	lsu	1	40	Uniq1	205_A|Uniq1;size=40	d78d68778a016ac97ca450a1a06bb820	LSU	gi|103485480|gb|DQ518763.1|	Cordyceps nutans strain OSC 110994 large subunit ribosomal RNA gene, partial sequence	99.628	269	492	4.91e-136	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
205_A	lsu	2	19	Uniq2	205_A|Uniq2;size=19	601d8dc795fa44fffea64477de148871	LSU	gi|103485480|gb|DQ518763.1|	Cordyceps nutans strain OSC 110994 large subunit ribosomal RNA gene, partial sequence	99.628	269	492	4.91e-136	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
206_A	lsu	1	30	Uniq1	206_A|Uniq1;size=30	827c6dfb39e49e45067ad3ff0dad08a0	LSU	gi|2599447048|gb|OR727508.1|	Ophiocordyceps sp. YY-2023c voucher HAKS 131087 large subunit ribosomal RNA gene, partial sequence	98.929	280	501	7.90e-139	3083226		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps pseudonutans
206_A	lsu	2	27	Uniq2	206_A|Uniq2;size=27	ffef802da5e9f7358ac1df878a44cb21	LSU	gi|2599447048|gb|OR727508.1|	Ophiocordyceps sp. YY-2023c voucher HAKS 131087 large subunit ribosomal RNA gene, partial sequence	98.571	280	494	1.32e-136	3083226		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps pseudonutans
203_A	its	1	2355	Uniq1	203_A|Uniq1;size=2355	b46084e7b4c3e4ab21b979eddf4b9a53	ITS	gi|1005260063|emb|HG936939.1|	Uncultured Didymella genomic DNA containing 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2 and 28S rRNA gene, clone 09J70C46 (MOTU112)	100.000	303	560	1.40e-156	526456		Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		uncultured Didymella
203_A	its	2	1254	Uniq2	203_A|Uniq2;size=1254	8459f745262336943bcb8cb2597def0a	ITS	gi|1594472632|gb|MK646042.1|	Rhodotorula sp. strain CDCF2848 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	100.000	364	673	0.0	1853554		Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula sp.
204_B	its	1	16989	Uniq1	204_B|Uniq1;size=16989	1101dd4eceacbbdb05f63dbda86c4634	ITS	gi|1046610933|gb|KX197241.1|	Ophiocordyceps neonutans voucher KEL114 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence	99.327	297	538	6.43e-150	1881843		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps neonutans
204_B	its	2	2963	Uniq2	204_B|Uniq2;size=2963	1ee4c80ad3a9050797cb6c8149dfce9b	ITS	gi|1046610933|gb|KX197241.1|	Ophiocordyceps neonutans voucher KEL114 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence	98.653	297	525	4.99e-146	1881843		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps neonutans
205_A	its	1	326	Uniq1	205_A|Uniq1;size=326	41bcaa587a559a7c042443a278ec68ce															
205_A	its	2	129	Uniq2	205_A|Uniq2;size=129	c38d601c09a1a6a3c5f7d8554f7779ba															
206_A	its	1	1380	Uniq1	206_A|Uniq1;size=1380	e51b7651599e3b59d0000db616b586a6	ITS	gi|1562683378|gb|MK453047.1|	Ophiocordyceps nutans voucher MHHNU 30295 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	97.049	305	507	1.85e-140	87751		Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps nutans
206_A	its	2	55	Uniq2	206_A|Uniq2;size=55	23681c2f127767006fb2c1316ce74a3f	ITS	gi|1696817621|gb|MN124083.1|	Yarrowia lipolytica isolate 18MWF15.1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence	100.000	219	405	4.89e-110	4952		Ascomycota	Dipodascomycetes	Dipodascales		Yarrowia	Yarrowia lipolytica
